test_type,size_bytes,bw_bytes,lat_bytes,bw_iters,lat_iters,src,dst,bw_gbs,lat_us,peer_access
bw,1048576,1048576,4,10,10000,0,1,98.58,8.152,yes
bw,1048576,1048576,4,10,10000,0,2,116.57,8.160,yes
bw,1048576,1048576,4,10,10000,0,3,114.94,7.156,yes
bw,1048576,1048576,4,10,10000,1,0,113.15,8.169,yes
bw,1048576,1048576,4,10,10000,1,2,113.66,8.151,yes
bw,1048576,1048576,4,10,10000,1,3,112.07,7.230,yes
bw,1048576,1048576,4,10,10000,2,0,76.78,6.150,yes
bw,1048576,1048576,4,10,10000,2,1,78.35,6.149,yes
bw,1048576,1048576,4,10,10000,2,3,86.10,6.135,yes
bw,1048576,1048576,4,10,10000,3,0,96.58,6.091,yes
bw,1048576,1048576,4,10,10000,3,1,96.12,6.099,yes
bw,1048576,1048576,4,10,10000,3,2,97.99,6.092,yes
bw,4194304,4194304,4,10,10000,0,1,250.23,7.962,yes
bw,4194304,4194304,4,10,10000,0,2,238.36,8.153,yes
bw,4194304,4194304,4,10,10000,0,3,237.06,7.445,yes
bw,4194304,4194304,4,10,10000,1,0,252.64,8.133,yes
bw,4194304,4194304,4,10,10000,1,2,236.38,8.163,yes
bw,4194304,4194304,4,10,10000,1,3,238.05,7.971,yes
bw,4194304,4194304,4,10,10000,2,0,274.04,6.145,yes
bw,4194304,4194304,4,10,10000,2,1,258.83,6.150,yes
bw,4194304,4194304,4,10,10000,2,3,259.29,6.148,yes
bw,4194304,4194304,4,10,10000,3,0,274.09,6.147,yes
bw,4194304,4194304,4,10,10000,3,1,273.64,6.148,yes
bw,4194304,4194304,4,10,10000,3,2,271.43,6.147,yes
bw,16777216,16777216,4,10,10000,0,1,521.63,7.028,yes
bw,16777216,16777216,4,10,10000,0,2,520.59,6.683,yes
bw,16777216,16777216,4,10,10000,0,3,536.96,6.969,yes
bw,16777216,16777216,4,10,10000,1,0,537.90,7.136,yes
bw,16777216,16777216,4,10,10000,1,2,518.69,7.197,yes
bw,16777216,16777216,4,10,10000,1,3,537.57,7.845,yes
bw,16777216,16777216,4,10,10000,2,0,537.07,6.104,yes
bw,16777216,16777216,4,10,10000,2,1,540.06,6.096,yes
bw,16777216,16777216,4,10,10000,2,3,533.52,6.082,yes
bw,16777216,16777216,4,10,10000,3,0,536.96,6.091,yes
bw,16777216,16777216,4,10,10000,3,1,538.12,6.146,yes
bw,16777216,16777216,4,10,10000,3,2,533.03,6.132,yes
bw,67108864,67108864,4,10,10000,0,1,668.10,7.163,yes
bw,67108864,67108864,4,10,10000,0,2,671.69,6.639,yes
bw,67108864,67108864,4,10,10000,0,3,663.95,6.452,yes
bw,67108864,67108864,4,10,10000,1,0,667.56,7.205,yes
bw,67108864,67108864,4,10,10000,1,2,679.13,7.023,yes
bw,67108864,67108864,4,10,10000,1,3,670.45,7.028,yes
bw,67108864,67108864,4,10,10000,2,0,684.76,6.101,yes
bw,67108864,67108864,4,10,10000,2,1,685.77,6.111,yes
bw,67108864,67108864,4,10,10000,2,3,686.44,6.085,yes
bw,67108864,67108864,4,10,10000,3,0,684.23,6.088,yes
bw,67108864,67108864,4,10,10000,3,1,684.09,6.093,yes
bw,67108864,67108864,4,10,10000,3,2,686.60,6.082,yes
bw,268435456,268435456,4,10,10000,0,1,750.85,7.222,yes
bw,268435456,268435456,4,10,10000,0,2,750.38,6.429,yes
bw,268435456,268435456,4,10,10000,0,3,750.17,6.361,yes
bw,268435456,268435456,4,10,10000,1,0,751.12,7.181,yes
bw,268435456,268435456,4,10,10000,1,2,751.91,7.050,yes
bw,268435456,268435456,4,10,10000,1,3,749.85,7.130,yes
bw,268435456,268435456,4,10,10000,2,0,756.66,6.105,yes
bw,268435456,268435456,4,10,10000,2,1,757.35,6.123,yes
bw,268435456,268435456,4,10,10000,2,3,756.99,6.099,yes
bw,268435456,268435456,4,10,10000,3,0,756.92,6.092,yes
bw,268435456,268435456,4,10,10000,3,1,757.11,6.096,yes
bw,268435456,268435456,4,10,10000,3,2,757.03,6.086,yes
bw,1073741824,1073741824,4,10,10000,0,1,775.24,6.644,yes
bw,1073741824,1073741824,4,10,10000,0,2,775.25,6.643,yes
