timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active, clocks_event_reasons.gpu_idle, clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sync_boost
2026/02/07 22:25:30.912, 0, P0, 0 %, 0 %, 1132 MHz, 3996 MHz, 191.53 W, 46, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:31.917, 0, P0, 0 %, 0 %, 1132 MHz, 3996 MHz, 191.53 W, 46, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:32.917, 0, P0, 0 %, 0 %, 1132 MHz, 3996 MHz, 191.61 W, 46, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:33.917, 0, P0, 0 %, 0 %, 1132 MHz, 3996 MHz, 191.54 W, 46, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:34.917, 0, P0, 0 %, 0 %, 1132 MHz, 3996 MHz, 191.54 W, 46, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:35.917, 0, P0, 99 %, 14 %, 1132 MHz, 3996 MHz, 383.60 W, 59, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:36.917, 0, P0, 99 %, 14 %, 1132 MHz, 3996 MHz, 977.13 W, 65, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:37.918, 0, P0, 99 %, 14 %, 1132 MHz, 3996 MHz, 979.84 W, 67, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:38.918, 0, P0, 99 %, 14 %, 1132 MHz, 3996 MHz, 974.67 W, 67, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:39.918, 0, P0, 99 %, 14 %, 1132 MHz, 3996 MHz, 971.29 W, 68, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:40.918, 0, P0, 99 %, 14 %, 1132 MHz, 3996 MHz, 974.44 W, 68, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:41.918, 0, P0, 99 %, 14 %, 1132 MHz, 3996 MHz, 972.91 W, 68, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:42.918, 0, P0, 99 %, 14 %, 1132 MHz, 3996 MHz, 974.71 W, 68, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:25:43.918, 0, P0, 99 %, 14 %, 1132 MHz, 3996 MHz, 974.16 W, 69, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
