label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu3,256,4096,4096,bf16,267.90,238.30,244.27,0.0321,0.0369,0.0352,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,2304,4096,4096,bf16,959.08,918.71,925.64,0.0806,0.0843,0.0835,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,4352,4096,4096,bf16,1104.41,1067.23,1070.84,0.1322,0.1369,0.1364,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,6400,4096,4096,bf16,1206.78,1184.27,1182.86,0.1780,0.1814,0.1816,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,8448,4096,4096,bf16,1387.59,1344.14,1352.53,0.2043,0.2110,0.2096,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,10496,4096,4096,bf16,1432.31,1409.29,1407.04,0.2459,0.2499,0.2503,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,12544,4096,4096,bf16,1493.17,1465.72,1469.15,0.2819,0.2872,0.2865,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,14592,4096,4096,bf16,1580.99,1548.83,1548.74,0.3097,0.3162,0.3161,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,16640,4096,4096,bf16,1569.37,1550.98,1554.62,0.3558,0.3600,0.3592,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,18688,4096,4096,bf16,1628.91,1606.38,1615.22,0.3850,0.3905,0.3882,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,256,4096,4096,bf16,271.70,237.94,249.36,0.0316,0.0369,0.0344,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,2304,4096,4096,bf16,922.46,893.26,904.16,0.0838,0.0866,0.0855,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,4352,4096,4096,bf16,1131.80,1093.72,1095.00,0.1290,0.1336,0.1334,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,6400,4096,4096,bf16,1232.26,1201.33,1204.07,0.1743,0.1788,0.1784,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,8448,4096,4096,bf16,1402.53,1368.30,1370.31,0.2021,0.2072,0.2069,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,10496,4096,4096,bf16,1440.93,1412.69,1412.64,0.2444,0.2493,0.2493,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,12544,4096,4096,bf16,1601.72,1565.14,1572.90,0.2628,0.2690,0.2676,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,14592,4096,4096,bf16,1581.64,1548.60,1545.93,0.3096,0.3162,0.3167,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,16640,4096,4096,bf16,1577.03,1546.50,1545.74,0.3540,0.3611,0.3612,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,18688,4096,4096,bf16,1625.40,1609.06,1610.17,0.3858,0.3897,0.3894,NVIDIA GB200,2062,3996,1950,3996
