test,sum_gbps
host_to_device_memcpy_ce,846.0
device_to_host_memcpy_ce,773.96
host_to_device_bidirectional_memcpy_ce,686.12
device_to_host_bidirectional_memcpy_ce,682.12
device_to_device_memcpy_read_ce,9219.11
device_to_device_memcpy_write_ce,9302.97
device_to_device_bidirectional_memcpy_read_ce_read1,9163.38
device_to_device_bidirectional_memcpy_read_ce_read2,9160.12
device_to_device_bidirectional_memcpy_read_ce_total,18323.5
device_to_device_bidirectional_memcpy_write_ce_write1,9253.28
device_to_device_bidirectional_memcpy_write_ce_write2,9245.81
device_to_device_bidirectional_memcpy_write_ce_total,18499.09
all_to_host_memcpy_ce,736.77
all_to_host_bidirectional_memcpy_ce,348.13
host_to_all_memcpy_ce,710.79
host_to_all_bidirectional_memcpy_ce,348.91
all_to_one_write_ce,3179.2
all_to_one_read_ce,2635.76
one_to_all_write_ce,2981.86
one_to_all_read_ce,3179.28
host_to_device_memcpy_sm,845.85
device_to_host_memcpy_sm,773.52
host_to_device_bidirectional_memcpy_sm,672.0
device_to_host_bidirectional_memcpy_sm,667.59
device_to_device_memcpy_read_sm,9425.83
device_to_device_memcpy_write_sm,8606.69
device_to_device_bidirectional_memcpy_read_sm_read1,8081.53
device_to_device_bidirectional_memcpy_read_sm_read2,8085.23
device_to_device_bidirectional_memcpy_read_sm_total,16166.76
device_to_device_bidirectional_memcpy_write_sm_write1,8471.83
device_to_device_bidirectional_memcpy_write_sm_write2,8470.73
device_to_device_bidirectional_memcpy_write_sm_total,16942.56
all_to_host_memcpy_sm,702.8
all_to_host_bidirectional_memcpy_sm,333.21
host_to_all_memcpy_sm,693.68
host_to_all_bidirectional_memcpy_sm,332.98
all_to_one_write_sm,2873.43
all_to_one_read_sm,2902.77
one_to_all_write_sm,2924.48
one_to_all_read_sm,2873.76
host_device_latency_sm,2353.48
device_to_device_latency_sm,20767.03
device_local_copy,13078.24
