label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,256,4096,4096,bf16,273.91,236.58,247.66,0.0314,0.0374,0.0347,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,2304,4096,4096,bf16,920.35,887.90,889.19,0.0840,0.0871,0.0869,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,4352,4096,4096,bf16,1077.80,1048.80,1053.42,0.1355,0.1393,0.1386,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,6400,4096,4096,bf16,1189.03,1167.34,1168.64,0.1806,0.1840,0.1838,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,8448,4096,4096,bf16,1371.90,1333.96,1329.69,0.2066,0.2125,0.2132,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,10496,4096,4096,bf16,1538.63,1505.62,1513.56,0.2289,0.2340,0.2327,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,12544,4096,4096,bf16,1447.17,1418.81,1415.86,0.2908,0.2967,0.2973,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,14592,4096,4096,bf16,1542.11,1510.55,1511.42,0.3175,0.3242,0.3240,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,16640,4096,4096,bf16,1540.01,1521.82,1523.67,0.3626,0.3669,0.3664,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,18688,4096,4096,bf16,1578.01,1561.48,1563.48,0.3974,0.4016,0.4011,NVIDIA GB200,2062,3996,1950,3996
