test,sum_gbps
host_to_device_memcpy_ce,845.76
device_to_host_memcpy_ce,773.95
host_to_device_bidirectional_memcpy_ce,675.71
device_to_host_bidirectional_memcpy_ce,675.91
device_to_device_memcpy_read_ce,9218.15
device_to_device_memcpy_write_ce,9303.25
device_to_device_bidirectional_memcpy_read_ce_read1,9162.76
device_to_device_bidirectional_memcpy_read_ce_read2,9161.48
device_to_device_bidirectional_memcpy_read_ce_total,18324.24
device_to_device_bidirectional_memcpy_write_ce_write1,9252.86
device_to_device_bidirectional_memcpy_write_ce_write2,9246.36
device_to_device_bidirectional_memcpy_write_ce_total,18499.23
all_to_host_memcpy_ce,736.15
all_to_host_bidirectional_memcpy_ce,346.5
host_to_all_memcpy_ce,707.05
host_to_all_bidirectional_memcpy_ce,346.44
all_to_one_write_ce,3179.76
all_to_one_read_ce,2635.46
one_to_all_write_ce,2921.99
one_to_all_read_ce,3178.62
host_to_device_memcpy_sm,845.87
device_to_host_memcpy_sm,773.55
host_to_device_bidirectional_memcpy_sm,667.5
device_to_host_bidirectional_memcpy_sm,668.67
device_to_device_memcpy_read_sm,9427.84
device_to_device_memcpy_write_sm,8606.75
device_to_device_bidirectional_memcpy_read_sm_read1,8082.7
device_to_device_bidirectional_memcpy_read_sm_read2,8085.86
device_to_device_bidirectional_memcpy_read_sm_total,16168.56
device_to_device_bidirectional_memcpy_write_sm_write1,8474.04
device_to_device_bidirectional_memcpy_write_sm_write2,8471.54
device_to_device_bidirectional_memcpy_write_sm_total,16945.58
all_to_host_memcpy_sm,703.06
all_to_host_bidirectional_memcpy_sm,333.13
host_to_all_memcpy_sm,692.85
host_to_all_bidirectional_memcpy_sm,332.88
all_to_one_write_sm,2873.45
all_to_one_read_sm,2859.82
one_to_all_write_sm,2924.44
one_to_all_read_sm,2873.63
host_device_latency_sm,2354.48
device_to_device_latency_sm,20766.72
device_local_copy,13086.93
