timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active, clocks_event_reasons.gpu_idle, clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sync_boost
2026/02/07 22:27:00.972, 1, P0, 0 %, 0 %, 120 MHz, 3996 MHz, 165.33 W, 45, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:01.977, 1, P0, 0 %, 0 %, 120 MHz, 3996 MHz, 166.23 W, 45, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:02.977, 1, P0, 0 %, 0 %, 120 MHz, 3996 MHz, 166.40 W, 45, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:03.977, 1, P0, 0 %, 0 %, 2062 MHz, 3996 MHz, 199.84 W, 46, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:04.977, 1, P0, 0 %, 0 %, 1950 MHz, 3996 MHz, 218.74 W, 46, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:05.977, 1, P0, 38 %, 10 %, 1297 MHz, 3996 MHz, 459.05 W, 62, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:06.977, 1, P0, 99 %, 18 %, 1312 MHz, 3996 MHz, 1186.52 W, 68, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:07.978, 1, P0, 99 %, 18 %, 1260 MHz, 3996 MHz, 1180.93 W, 69, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:08.978, 1, P0, 99 %, 18 %, 1237 MHz, 3996 MHz, 1184.00 W, 70, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:09.978, 1, P0, 99 %, 19 %, 1260 MHz, 3996 MHz, 1177.24 W, 71, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:10.978, 1, P0, 99 %, 17 %, 1237 MHz, 3996 MHz, 1183.45 W, 71, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:11.978, 1, P0, 99 %, 20 %, 1237 MHz, 3996 MHz, 1178.31 W, 71, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:12.978, 1, P0, 99 %, 20 %, 1237 MHz, 3996 MHz, 1179.05 W, 71, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:13.978, 1, P0, 99 %, 18 %, 1267 MHz, 3996 MHz, 1181.69 W, 71, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:14.979, 1, P0, 99 %, 19 %, 1267 MHz, 3996 MHz, 1179.49 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:15.979, 1, P0, 99 %, 19 %, 1260 MHz, 3996 MHz, 1182.72 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:16.979, 1, P0, 99 %, 20 %, 1260 MHz, 3996 MHz, 1178.02 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:17.979, 1, P0, 99 %, 19 %, 1290 MHz, 3996 MHz, 1181.39 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:18.979, 1, P0, 99 %, 20 %, 1260 MHz, 3996 MHz, 1180.10 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:19.979, 1, P0, 99 %, 19 %, 1267 MHz, 3996 MHz, 1183.49 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:20.980, 1, P0, 99 %, 17 %, 1252 MHz, 3996 MHz, 1181.96 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:21.980, 1, P0, 99 %, 20 %, 1260 MHz, 3996 MHz, 1180.46 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:22.980, 1, P0, 99 %, 19 %, 1237 MHz, 3996 MHz, 1179.31 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:23.980, 1, P0, 99 %, 19 %, 1275 MHz, 3996 MHz, 1177.29 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:24.980, 1, P0, 99 %, 19 %, 1260 MHz, 3996 MHz, 1179.44 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:25.980, 1, P0, 99 %, 19 %, 1260 MHz, 3996 MHz, 1181.24 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:26.980, 1, P0, 99 %, 16 %, 1260 MHz, 3996 MHz, 1181.55 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:27.981, 1, P0, 99 %, 16 %, 1260 MHz, 3996 MHz, 1183.88 W, 73, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:28.981, 1, P0, 99 %, 16 %, 1260 MHz, 3996 MHz, 1182.97 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:29.981, 1, P0, 99 %, 17 %, 1290 MHz, 3996 MHz, 1182.97 W, 73, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
