test,sum_gbps
host_to_device_memcpy_ce,846.04
device_to_host_memcpy_ce,773.89
device_to_device_memcpy_read_ce,9218.57
device_to_device_memcpy_write_ce,9302.41
device_to_device_bidirectional_memcpy_read_ce_read1,9161.82
device_to_device_bidirectional_memcpy_read_ce_read2,9159.11
device_to_device_bidirectional_memcpy_read_ce_total,18320.93
device_to_device_bidirectional_memcpy_write_ce_write1,9253.14
device_to_device_bidirectional_memcpy_write_ce_write2,9245.39
device_to_device_bidirectional_memcpy_write_ce_total,18498.54
all_to_host_memcpy_ce,737.07
host_to_all_memcpy_ce,725.95
host_to_device_memcpy_ce,844.84
device_to_host_memcpy_ce,773.33
device_to_device_bidirectional_memcpy_read_ce_read1,8966.52
device_to_device_bidirectional_memcpy_read_ce_read2,8969.43
device_to_device_bidirectional_memcpy_read_ce_total,17935.95
